Date,Purchaser Name,Denomination
Date,of Purchase Purchaser,Denomination
12/Apr/2019,A B C INDIA,100000
12/Apr/2019,A B C INDIA,100000
12/Apr/2019,A B C INDIA,1000000
12/Apr/2019,A B C INDIA,1000000
12/Apr/2019,A B C INDIA,100000
12/Apr/2019,A B C INDIA,100000
12/Apr/2019,A B C INDIA,100000
12/Apr/2019,A B C INDIA,1000000
12/Apr/2019,A B C INDIA,100000
12/Apr/2019,A B C INDIA,100000
12/Apr/2019,A B C INDIA,100000
12/Apr/2019,A B C INDIA,100000
12/Apr/2019,A B C INDIA,100000
12/Apr/2019,ACROPOLIS MAINTENANCE SERVICES PRIVATE,100000
12/Apr/2019,ACROPOLIS MAINTENANCE SERVICES PRIVATE,1000000
12/Apr/2019,ACROPOLIS MAINTENANCE SERVICES PRIVATE,100000
12/Apr/2019,ACROPOLIS MAINTENANCE SERVICES PRIVATE,100000
12/Apr/2019,ACROPOLIS MAINTENANCE SERVICES PRIVATE,100000
12/Apr/2019,ACROPOLIS MAINTENANCE SERVICES PRIVATE,100000
12/Apr/2019,ACROPOLIS MAINTENANCE SERVICES PRIVATE,1000000
12/Apr/2019,ESSEL MINING AND INDS,10000000
12/Apr/2019,ESSEL MINING AND INDS,10000000
12/Apr/2019,ESSEL MINING AND INDS,1000000
12/Apr/2019,ESSEL MINING AND INDS,10000000
12/Apr/2019,ESSEL MINING AND INDS,10000000
12/Apr/2019,ESSEL MINING AND INDS,1000000
12/Apr/2019,ESSEL MINING AND INDS,10000000
12/Apr/2019,ESSEL MINING AND INDS,10000000
12/Apr/2019,ESSEL MINING AND INDS,1000000
12/Apr/2019,ESSEL MINING AND INDS,10000000
12/Apr/2019,ESSEL MINING AND INDS,10000000
12/Apr/2019,ESSEL MINING AND INDS,10000000
12/Apr/2019,ESSEL MINING AND INDS,10000000
12/Apr/2019,ESSEL MINING AND INDS,10000000
12/Apr/2019,ESSEL MINING AND INDS,10000000
12/Apr/2019,ESSEL MINING AND INDS,10000000
12/Apr/2019,ESSEL MINING AND INDS,10000000
12/Apr/2019,ESSEL MINING AND INDS,10000000
12/Apr/2019,ESSEL MINING AND INDS,10000000
12/Apr/2019,ESSEL MINING AND INDS,10000000
